provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
RJE,NULL,5.714285714,2,0,Rheumatology Service,85.7143,7
RJL,NULL,-50,0,0,Cardiothoracic Surgery Service,50,2
RJL,16.9,0.719734146,-4,0,Elderly Medicine Service,93.7238,239
RJL,29.3,-5.249107484,-10,0,Other - Other Services,74.3952,496
RJL,40,0.268258966,38,0,Other - Paediatric Services,47.8382,717
RJL,23.6,-0.140169337,-8,0,Other - Surgical Services,86.5613,759
RJL,NULL,-5,-1,0,Plastic Surgery Service,75,4
RJL,34.3,1.21144473,63,0,Rheumatology Service,56.3441,930
RJN,44.3,-0.025295378,16,0,Cardiology Service,45.1397,895
RJN,10,54.5112782,17,0,General Internal Medicine Service,97.3684,38
RJN,35.6,-0.291013334,72,0,Other - Medical Services,74.5342,644
RJN,NULL,0,0,0,Other - Other Services,100,1
